Timestamps,Filtered Voltages,Envelope
4033.087891,0.001082,0.003167
4041.2854,-0.002003,0.002093
4049.482666,-0.001187,0.002015
4057.679932,0.002449,0.003089
4065.877441,0.001606,0.004481
4074.074707,-0.005802,0.005804
4082.271973,0.00318,0.006889
4090.469238,0.004454,0.007633
4098.666504,-0.007893,0.007974
4106.86377,0.002731,0.007896
4115.061523,0.004838,0.007426
4123.258789,-0.006525,0.006634
4131.456055,0.002036,0.005621
4139.65332,0.002556,0.004511
4147.850586,-0.003444,0.003454
4156.047852,0.001997,0.002632
4164.245117,-0.000447,0.002236
4172.442871,-0.001067,0.002288
4180.640137,0.00248,0.002559
4188.837402,-0.002131,0.002835
4197.034668,-0.000667,0.00303
4205.231934,0.003075,0.003137
4213.429199,-0.001677,0.003205
4221.626465,-0.002177,0.003305
4229.824219,0.003157,0.003496
4238.021484,0.000633,0.003789
4246.21875,-0.004109,0.004145
4254.416016,0.001948,0.004497
4262.613281,0.003384,0.004787
4270.810547,-0.004513,0.004979
4279.007812,-0.000429,0.005056
4287.205566,0.004845,0.005022
4295.402832,-0.002811,0.0049
4303.600098,-0.002734,0.004724
4311.797363,0.004361,0.004529
4319.994629,-0.000331,0.004342
4328.191895,-0.003769,0.004174
4336.38916,0.002986,0.004029
4344.586426,0.001205,0.003908
4352.78418,-0.00378,0.003817
4360.981445,0.002211,0.003758
4369.178711,0.001548,0.003732
4377.375977,-0.003713,0.003736
4385.573242,0.002286,0.003757
4393.770508,0.00134,0.003782
4401.967773,-0.003725,0.003794
4410.165527,0.002551,0.003775
4418.362793,0.001073,0.003702
4426.560059,-0.003468,0.003552
4434.757324,0.002101,0.00331
4442.95459,0.001366,0.002984
4451.151855,-0.002608,0.002644
4459.349121,1.4e-05,0.002455
4467.546875,0.002632,0.002649
4475.744141,-0.000897,0.003288
4483.941406,-0.003561,0.004216
4492.138672,0.00423,0.00524
4500.335938,0.001278,0.006211
4508.533203,-0.006802,0.007016
4516.730469,0.004993,0.007573
4524.928223,0.002798,0.00783
4533.125488,-0.007704,0.007767
4541.322754,0.004347,0.007384
4549.52002,0.002833,0.006706
4557.717285,-0.005764,0.005781
4565.914551,0.002558,0.00467
4574.111816,0.001628,0.003447
4582.30957,-0.002198,0.002198
4590.506836,0.000243,0.001031
4598.704102,0.00046,0.00061
4606.901367,0.001059,0.001462
4615.098633,-0.002243,0.002376
4623.295898,0.000764,0.003215
4631.493164,0.002607,0.004001
4639.69043,-0.004768,0.004781
4647.888184,0.003039,0.005587
4656.085449,0.002251,0.006414
4664.282715,-0.006965,0.007216
4672.47998,0.006079,0.007911
