,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y
49,0.000401,65535,26664.43225532932,50270.09550693896,,,-717.0379916803626,,,,,,,
50,0.000409,1056,-49298.54720938797,49304.28058305235,,,-993.3057274901563,,,,,,,
51,0.000418,65535,26460.498362712966,47705.26012534685,,,1851.497911537483,,,,,,,
52,0.000426,65535,17773.82935082941,45529.351217377596,,,-596.4383336894192,,,,,,,
53,0.000434,1040,-42414.58293286757,43240.27805155575,,,-1668.4428652133738,,,,,,,
54,0.000442,65535,29355.177291707852,40640.01715907209,,,2359.334626697465,,,,,,,
55,0.00045,59102,4758.097468090276,37699.08135688416,,,-315.5473732989712,,,,,,,
56,0.000459,1088,-30080.384428231217,34944.40504675282,,,-2508.81668466073,,,,,,,
57,0.000467,65535,30335.69040853822,32415.073544698833,,,2864.8584547581354,,,,,,,
58,0.000475,31447,-10158.605912080871,30487.23793806263,,,95.9358542879429,,,,,,,
59,0.000483,2080,-14748.693802890873,29610.28598792194,,,-3430.4151845945157,,,,,,,
60,0.000491,65535,28907.940843395805,29429.571514246527,,,3321.4178297987933,,,,,,,
61,0.000499,1296,-23403.758036556104,29908.857964203376,,,579.8943406428309,,,,,,,
62,0.000508,35080,616.7902875296204,30775.34936642272,,,-4320.193421708156,,,,,,,
63,0.000516,65535,24126.024395328146,31422.84059889106,,,3684.832431183593,,,,,,,
64,0.000524,1056,-31221.747972780246,31939.69721992164,,,1056.951569409998,,,,,,,
65,0.000532,65535,13525.204079387002,32188.25631317546,,,-5059.33367801694,,,,,,,
66,0.00054,65471,15122.152309241023,31990.054312600387,,,3924.3085506154907,,,,,,,
67,0.000549,1024,-31231.82723249308,31639.973906411724,,,1444.8872733983744,,,,,,,
68,0.000557,65535,22717.27921395628,30986.703279875324,,,-5549.636602293268,,,,,,,
69,0.000565,33704,1918.649040996542,30053.62461743153,,,4024.330206366247,,,,,,,
70,0.000573,5153,-23564.195122900906,29341.795567874688,,,1681.303962873194,,,,,,,
71,0.000581,65535,28230.417309224787,28938.523214618064,,,-5731.409145469789,,,,,,,
72,0.00059,12531,-13955.122603632351,29222.41119945309,,,3980.346096416603,,,,,,,
73,0.000598,27462,-10848.116665737825,30520.236008301046,,,1737.8690279034743,,,,,,,
74,0.000606,65535,30759.24279901792,32493.13299891688,,,-5590.02556609403,,,,,,,
75,0.000614,1088,-29554.272737445994,35063.29584815677,,,3797.4619758026397,,,,,,,
76,0.000622,53036,3030.1784996295987,37905.43707612823,,,1620.9925201429571,,,,,,,
77,0.00063,65535,30800.27820069633,40490.15419972373,,,-5155.701112966067,,,,,,,
78,0.000639,1104,-41459.443364020466,42850.50856124561,,,3494.7167310962595,,,,,,,
79,0.000647,65535,14726.99855671798,44851.969928987695,,,1363.7414540737982,,,,,,,
80,0.000655,65535,28207.87045620722,46292.83551000082,,,-4498.497947765293,,,,,,,
81,0.000663,1088,-47171.44752826781,47311.497264817765,,,3108.099638660575,,,,,,,
82,0.000671,65535,22790.56005154256,47703.54632012258,,,1015.19913293253,,,,,,,
83,0.00068,65535,22480.7769947519,47299.51804255955,,,-3715.3647031677974,,,,,,,
84,0.000688,1088,-46230.109512580624,46397.70509054224,,,2685.4859300949793,,,,,,,
85,0.000696,65535,27841.331288701054,45081.78283495955,,,629.068928455285,,,,,,,
86,0.000704,63039,13565.715835688628,43506.67539349126,,,-2908.273305272724,,,,,,,
87,0.000712,1088,-40413.19828432346,42064.14865737336,,,2274.7752511527437,,,,,,,
88,0.000721,65535,31580.334772762602,40717.04233425483,,,252.21266734123208,,,,,,,
89,0.000729,43674,2561.7128389660725,39505.40558260798,,,-2160.7570247883245,,,,,,,
90,0.000737,1088,-32844.021833292885,38713.51750694262,,,1911.7271447778955,,,,,,,
91,0.000745,65535,35321.4333024401,38267.43590434176,,,-82.74927985609935,,,,,,,
