Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
319,0.002618,32776,1544.718533395528,2003.5873331095663,,,,,,,,,,,,,
320,0.002626,32279,407.62553985919766,2980.43664714647,,,,,,,,,,,,,
321,0.002634,28630,-3785.049036222132,4084.106850103591,,,,,,,,,,,,,
322,0.002643,35144,4162.476812281331,5349.790545274823,,,,,,,,,,,,,
323,0.002651,33176,1258.0156059831595,6797.9979211887285,,,,,,,,,,,,,
324,0.002659,24325,-8010.794383795294,8394.303113295982,,,,,,,,,,,,,
325,0.002667,38057,7224.1382526181,10127.956550263989,,,,,,,,,,,,,
326,0.002675,35352,3410.6609079973687,11960.732121257415,,,,,,,,,,,,,
327,0.002684,18564,-13573.281722553784,13833.951268718192,,,,,,,,,,,,,
328,0.002692,41322,9857.10521849754,15764.112785656807,,,,,,,,,,,,,
329,0.0027,38873,7198.222245368715,17761.285300016338,,,,,,,,,,,,,
330,0.002708,11538,-19738.366608079697,19773.94295041268,,,,,,,,,,,,,
331,0.002717,43402,11166.997192512235,21774.01496129777,,,,,,,,,,,,,
332,0.002725,44538,12491.694643342304,23730.172845774283,,,,,,,,,,,,,
333,0.002733,4513,-25515.477716948542,25592.676413085755,,,,,,,,,,,,,
334,0.002741,43738,10633.244956702358,27378.84744903982,,,,,,,,,,,,,
335,0.002749,50860,18648.42016418396,29108.582542103493,,,,,,,,,,,,,
336,0.002758,1920,-30009.01407169294,30733.56660803148,,,,,,,,,,,,,
337,0.002766,42762,8373.42344096072,32225.57289968805,,,,,,,,,,,,,
338,0.002774,56829,24678.310880897352,33574.11648833039,,,,,,,,,,,,,
339,0.002782,1632,-32733.423407339214,34747.630556783384,,,,,,,,,,,,,
340,0.00279,39113,5129.939183466406,35765.25208354884,,,,,,,,,,,,,
341,0.002799,65279,29553.328021011308,36654.18436836027,,,,,,,,,,,,,
342,0.002807,1392,-33729.351704181034,37371.65712824013,,,,,,,,,,,,,
