Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
449,0.003678,31575,-102.04334162728146,172.2876448296902,,,,,,,,,,,,,
450,0.003686,32119,181.82644267097376,182.5191661089653,,,,,,,,,,,,,
451,0.003695,31991,-56.87380833807352,187.9684161036635,,,,,,,,,,,,,
452,0.003703,31095,-140.46007124622366,189.48482782855345,,,,,,,,,,,,,
453,0.003711,32183,199.6591160243887,205.67023896658336,,,,,,,,,,,,,
454,0.003719,31655,-83.90527465146208,216.2001076789062,,,,,,,,,,,,,
455,0.003727,31783,-79.95378652920046,199.9966021030928,,,,,,,,,,,,,
456,0.003736,31927,180.5793895124777,197.49189229816136,,,,,,,,,,,,,
457,0.003744,31527,-180.6490289464551,200.15441031008265,,,,,,,,,,,,,
458,0.003752,32023,53.32811136438448,218.08661554122173,,,,,,,,,,,,,
459,0.00376,31879,181.7701968216664,278.4744751464794,,,,,,,,,,,,,
460,0.003768,31223,-344.6904509956587,347.9707570137376,,,,,,,,,,,,,
461,0.003777,32295,193.4648616115849,418.592477179695,,,,,,,,,,,,,
462,0.003785,31911,240.18978847786528,489.0791612724613,,,,,,,,,,,,,
463,0.003793,31399,-530.0062134326151,530.0181443743685,,,,,,,,,,,,,
464,0.003801,31847,275.00498240437804,566.4278993890393,,,,,,,,,,,,,
465,0.003809,32119,351.35829639366153,624.7935772967655,,,,,,,,,,,,,
466,0.003817,31303,-673.5991700432995,679.2635372074188,,,,,,,,,,,,,
467,0.003826,32007,267.73920538468684,721.2022782944485,,,,,,,,,,,,,
468,0.003834,32359,474.24909724427584,749.9675619493133,,,,,,,,,,,,,
469,0.003842,30871,-728.5210035584604,744.6452743044239,,,,,,,,,,,,,
470,0.00385,32103,188.41135349811069,730.8183984026904,,,,,,,,,,,,,
471,0.003858,32503,555.3748649928787,738.3492325658069,,,,,,,,,,,,,
472,0.003867,31063,-685.5007377575445,740.0153626396786,,,,,,,,,,,,,
473,0.003875,31831,87.21755088786091,721.7513615365685,,,,,,,,,,,,,
474,0.003883,32295,557.2859619324913,692.1178357492425,,,,,,,,,,,,,
475,0.003891,31159,-574.0665065963815,638.1096136057399,,,,,,,,,,,,,
476,0.003899,31879,18.959067566359725,580.8546550962571,,,,,,,,,,,,,
477,0.003908,32055,476.5657528826411,550.1493911680078,,,,,,,,,,,,,
478,0.003916,31751,-444.5385687631693,518.6521933676197,,,,,,,,,,,,,
479,0.003924,31623,15.17572817375512,471.7217822135107,,,,,,,,,,,,,
480,0.003932,32247,342.85671929498454,425.1327386998748,,,,,,,,,,,,,
