,max amp,std,kurtosis,skewness,power,rise time,fall time,peak entropy,distance,grid_x,grid_y,angle,real_x,real_y,plateau_sizes 1,plateau_sizes 2,left_edges 1,left_edges 2,right_edges 1,right_edges 2,peak_heights 1,peak_heights 2,left_thresholds 1,left_thresholds 2,right_thresholds 1,right_thresholds 2,prominences 1,prominences 2,left_bases 1,left_bases 2,right_bases 1,right_bases 2,widths 1,widths 2,width_heights 1,width_heights 2,left_ips 1,left_ips 2,right_ips 1,right_ips 2,label
big_pole_sensor_50cm_2_12 7_filtered.csv,0.3613028509616857,0.16942846142199727,0.08746546188112522,0.8024447893628173,0.2784716920830986,0.11363636363636362,0.11864406779661016,0.3256837042726664,0.34294871794871795,0.47368421052631576,0.3529411764705882,0.46980269648440465,0.47368421052631576,0.35294117647058826,0.0,1.0,0.5944055944055944,0.9547738693467337,0.5944055944055944,0.9547738693467337,0.3613028509616857,0.11192825937512464,0.205497295150206,0.03333526837785924,0.29961415145803344,0.09511185674714205,0.35793536437496015,0.054184158513394094,0.011764705882352941,0.9322033898305084,0.6874999999999999,1.0,0.34932055033917214,0.24918737062487303,0.08823355958265995,0.07922689259547568,0.6826233207073438,0.9048435481193398,0.7293038279185946,1.0,1.0
big_pole_sensor_50cm_2_12 6_filtered.csv,0.35572189344769,0.12258260697155494,0.10992099117587817,0.764518357642031,0.22923065730135955,0.09090909090909091,0.13559322033898305,0.0,0.28685897435897434,0.47368421052631576,0.2941176470588235,0.46280572607193554,0.47368421052631576,0.29411764705882354,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.35572189344769,0.0,0.24668300337733592,0.0,0.27461266006855,0.0,0.36199816157521575,0.0,0.6823529411764706,0.0,0.6607142857142857,0.0,0.3330853349714508,0.0,0.024554388171026252,0.0,0.679309434592613,0.0,0.7061012988830491,0.0,1.0
big_pole_sensor_50cm_2_12 5_filtered.csv,0.5413277997543434,0.20608604071781028,0.06582687160121165,0.842271555035073,0.3453931348695887,0.09090909090909091,0.15254237288135591,0.0,0.23157051282051286,0.47368421052631576,0.23529411764705882,0.4538450525482706,0.47368421052631576,0.23529411764705882,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.5413277997543434,0.0,0.33427822107740646,0.0,0.2967292155660003,0.0,0.5501930091610365,0.0,0.12941176470588234,0.0,0.8214285714285713,0.0,0.6854060077818338,0.0,0.035072336245018744,0.0,0.3077446207967344,0.0,0.8453164730963416,0.0,1.0
big_pole_sensor_50cm_2_12 4_filtered.csv,0.6536556447145524,0.24458986694754412,0.05429861843895021,0.865193071207879,0.39377844030941117,0.09090909090909091,0.11864406779661016,0.0,0.1698717948717949,0.47368421052631576,0.1764705882352941,0.4419678727747332,0.47368421052631576,0.1764705882352941,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.6536556447145524,0.0,0.22734675169994997,0.0,0.5379001246723264,0.0,0.668119109544795,0.0,0.10588235294117647,0.0,0.8482142857142857,0.0,0.4727579983577321,0.0,0.015161856039290362,0.0,0.6625399244711458,0.0,0.8685190021318854,0.0,1.0
big_pole_sensor_50cm_2_12 3_filtered.csv,0.6583798493084606,0.27403913471503155,0.04793771667209842,0.8784487134681827,0.4259551698968917,0.09090909090909091,0.13559322033898305,0.0,0.11538461538461539,0.47368421052631576,0.1176470588235294,0.4254958173426585,0.47368421052631576,0.11764705882352944,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.6583798493084606,0.0,0.14133055471749975,0.0,0.5662979970442491,0.0,0.6714683518562716,0.0,0.18823529411764706,0.0,0.4821428571428571,0.0,0.2684015723923542,0.0,0.02482071367659315,0.0,0.590338348412872,0.0,0.5514177719793907,0.0,1.0
big_pole_sensor_50cm_2_12 2_filtered.csv,0.7123477679834801,0.2031253487356605,0.03315352460118965,0.9112825634604383,0.5228299362741767,0.09090909090909091,0.1864406779661017,0.0,0.06249999999999997,0.47368421052631576,0.058823529411764705,0.4011898548552051,0.47368421052631576,0.05882352941176472,0.0,0.0,0.24475524475524474,0.0,0.24475524475524474,0.0,0.7123477679834801,0.0,0.34389857012177183,0.0,0.08898361614538788,0.0,0.7264352274842135,0.0,0.09411764705882353,0.0,0.8392857142857143,0.0,0.8280343261898666,0.0,0.026274436252703242,0.0,0.07532073129718488,0.0,0.8343099407674017,0.0,1.0
big_pole_sensor_50cm_2_12 1_filtered.csv,0.7644100139715957,0.22067537173918858,0.027526392764848924,0.92463680930146,0.5707485483947841,0.11363636363636362,0.22033898305084743,0.20805503064407313,0.007211538461538464,0.47368421052631576,0.0,0.3619739445680613,0.47368421052631576,0.0,0.0,1.0,0.24475524475524474,0.02512562814070352,0.24475524475524474,0.02512562814070352,0.7644100139715957,0.084378871969941,0.05526811186889368,0.030330229367129112,0.6890513465086138,0.4615105990875972,0.7529413220283183,0.0012120886823908177,0.2588235294117647,0.01694915254237288,0.9999999999999999,0.11,0.25605966903831634,0.028253578384851583,0.2005263170853107,0.0892119150215631,0.2071320110672584,0.015095127578370462,0.2210578641746781,0.026435644109219916,1.0
big_pole_sensor_50cm_2_12 17_filtered.csv,0.07701644009238345,0.019944461641663788,0.3626547222263633,0.45529787426389245,0.055512469572700875,0.11363636363636362,0.13559322033898305,0.0,0.9110576923076924,0.47368421052631576,0.9411764705882353,0.49946760370180193,0.47368421052631576,0.9411764705882353,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.07701644009238345,0.0,0.06313090115858112,0.0,0.08550155495918114,0.0,0.08012141808091877,0.0,0.4,0.0,0.8482142857142857,0.0,0.5223126886320482,0.0,0.004092266768181389,0.0,0.5864419369485212,0.0,0.8685190021318903,0.0,1.0
big_pole_sensor_50cm_2_12 16 _filtered.csv,0.0646633389704883,0.017344555597917595,0.3833293222826077,0.4351662584355207,0.050455262853348594,0.13636363636363638,0.15254237288135591,0.0,0.8501602564102565,0.47368421052631576,0.8823529411764706,0.49797836364092074,0.47368421052631576,0.8823529411764706,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.0646633389704883,0.0,0.034945843109858224,0.0,0.07677812722231454,0.0,0.06740075525582565,0.0,0.12941176470588234,0.0,0.9732142857142857,0.0,0.9171578687776452,0.0,0.0046648502421586975,0.0,0.11191457499241096,0.0,0.9767974709644511,0.0,1.0
big_pole_sensor_50cm_2_12 15_filtered.csv,0.09548410257635997,0.027084594544346058,0.30431558478798676,0.5144629629351523,0.07246036951641335,0.11363636363636362,0.1694915254237288,0.0,0.796474358974359,0.47368421052631576,0.8235294117647058,0.49631449073681816,0.47368421052631576,0.8235294117647058,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.09548410257635997,0.0,0.0778015968440652,0.0,0.08628884691243992,0.0,0.0983934844603937,0.0,0.4588235294117647,0.0,0.8035714285714285,0.0,0.6124892378476319,0.0,0.008092598115477675,0.0,0.40088808603536147,0.0,0.8298481204059758,0.0,1.0
