,param_classifier__C,param_classifier__degree,param_classifier__kernel,param_feature_selection__k,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
59,50,5,poly,1,0.5827067669172933,0.6616541353383458,0.6015037593984962,0.6150943396226415,0.5169811320754717,0.5955880266704497,0.04717031605556837,50
60,50,5,rbf,1,0.5977443609022557,0.6541353383458647,0.5939849624060151,0.5924528301886792,0.6188679245283019,0.6114370832742233,0.023370183661565805,37
61,50,5,rbf,1,0.6466165413533834,0.6729323308270677,0.6691729323308271,0.6754716981132075,0.6641509433962264,0.6656688892041424,0.010260868219142535,6
62,50,5,sigmoid,1,0.39097744360902253,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.3855582352106682,0.01778376055076776,85
63,50,5,sigmoid,1,0.5639097744360902,0.6052631578947368,0.556390977443609,0.539622641509434,0.38113207547169814,0.5292637253511137,0.07715237275705003,66
64,50,7,linear,1,0.6165413533834586,0.6842105263157895,0.5939849624060151,0.6,0.6452830188679245,0.6280039721946375,0.03325853062237846,13
65,50,7,linear,1,0.5827067669172933,0.5827067669172933,0.5827067669172933,0.5811320754716981,0.5849056603773585,0.5828316073201874,0.0012030677426125627,55
66,50,7,poly,1,0.556390977443609,0.6578947368421053,0.5375939849624061,0.5207547169811321,0.5056603773584906,0.5556589587175486,0.053846444053503535,60
67,50,7,poly,1,0.44360902255639095,0.631578947368421,0.556390977443609,0.569811320754717,0.41509433962264153,0.5232969215491559,0.08129177444977892,71
68,50,7,rbf,1,0.5977443609022557,0.6541353383458647,0.5939849624060151,0.5924528301886792,0.6188679245283019,0.6114370832742233,0.023370183661565805,37
69,50,7,rbf,1,0.6466165413533834,0.6729323308270677,0.6691729323308271,0.5924528301886792,0.6641509433962264,0.6490651156192367,0.02970689089085943,11
70,50,7,sigmoid,1,0.39097744360902253,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.3855582352106682,0.01778376055076776,85
71,50,7,sigmoid,1,0.3383458646616541,0.6052631578947368,0.556390977443609,0.539622641509434,0.38113207547169814,0.48415094339622644,0.10472431278810977,77
72,100,3,linear,1,0.6165413533834586,0.6842105263157895,0.5939849624060151,0.6,0.6452830188679245,0.6280039721946375,0.03325853062237846,13
73,100,3,linear,1,0.650375939849624,0.5827067669172933,0.5827067669172933,0.5811320754716981,0.5849056603773585,0.5963654419066534,0.027031961595927044,46
74,100,3,poly,1,0.41729323308270677,0.6729323308270677,0.6090225563909775,0.6226415094339622,0.6226415094339622,0.5889062278337354,0.0885349773542398,52
75,100,3,poly,1,0.5939849624060151,0.3383458646616541,0.5827067669172933,0.6188679245283019,0.38113207547169814,0.5030075187969925,0.1183381451951319,75
76,100,3,rbf,1,0.6090225563909775,0.6578947368421053,0.5902255639097744,0.5849056603773585,0.6150943396226415,0.6114285714285714,0.025812259225121665,40
77,100,3,rbf,1,0.6466165413533834,0.6654135338345865,0.6691729323308271,0.5849056603773585,0.6641509433962264,0.6460519222584764,0.03154746206112692,12
78,100,3,sigmoid,1,0.39097744360902253,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.3855582352106682,0.01778376055076776,85
79,100,3,sigmoid,1,0.5639097744360902,0.6052631578947368,0.556390977443609,0.539622641509434,0.38113207547169814,0.5292637253511137,0.07715237275705003,66
80,100,5,linear,1,0.6165413533834586,0.6842105263157895,0.5939849624060151,0.6,0.6452830188679245,0.6280039721946375,0.03325853062237846,13
81,100,5,linear,1,0.650375939849624,0.5827067669172933,0.5827067669172933,0.5811320754716981,0.5849056603773585,0.5963654419066534,0.027031961595927044,46
82,100,5,poly,1,0.5977443609022557,0.34210526315789475,0.5827067669172933,0.6226415094339622,0.5849056603773585,0.5460207121577529,0.10294221540977427,63
83,100,5,poly,1,0.44360902255639095,0.6616541353383458,0.4473684210526316,0.5924528301886792,0.4037735849056604,0.5097715988083416,0.0994099723035631,73
84,100,5,rbf,1,0.6090225563909775,0.6578947368421053,0.5902255639097744,0.5849056603773585,0.6150943396226415,0.6114285714285714,0.025812259225121665,40
85,100,5,rbf,1,0.6428571428571429,0.6654135338345865,0.6691729323308271,0.6792452830188679,0.6641509433962264,0.6641679670875301,0.011900236035355595,9
86,100,5,sigmoid,1,0.39097744360902253,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.3855582352106682,0.01778376055076776,85
87,100,5,sigmoid,1,0.3383458646616541,0.6052631578947368,0.556390977443609,0.539622641509434,0.38113207547169814,0.48415094339622644,0.10472431278810977,77
88,100,7,linear,1,0.6165413533834586,0.6842105263157895,0.5939849624060151,0.6,0.6452830188679245,0.6280039721946375,0.03325853062237846,13
89,100,7,linear,1,0.5827067669172933,0.5827067669172933,0.5827067669172933,0.5811320754716981,0.5849056603773585,0.5828316073201874,0.0012030677426125627,55
90,100,7,poly,1,0.5977443609022557,0.37218045112781956,0.5,0.4830188679245283,0.49433962264150944,0.48945666051922265,0.07163293354798288,76
91,100,7,poly,1,0.43609022556390975,0.5827067669172933,0.5676691729323309,0.5471698113207547,0.4188679245283019,0.5105007802525181,0.06893483643057646,72
92,100,7,rbf,1,0.6090225563909775,0.6578947368421053,0.5902255639097744,0.5849056603773585,0.6150943396226415,0.6114285714285714,0.025812259225121665,40
93,100,7,rbf,1,0.6466165413533834,0.6654135338345865,0.6691729323308271,0.6792452830188679,0.6641509433962264,0.6649198467867782,0.010574996822675457,8
94,100,7,sigmoid,1,0.39097744360902253,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.3855582352106682,0.01778376055076776,85
95,100,7,sigmoid,1,0.3383458646616541,0.6052631578947368,0.556390977443609,0.41509433962264153,0.38113207547169814,0.4592452830188679,0.10336939013433977,82
